mellon_id,initial,revise,session_id,task,ini_score,revise_score,score_change
168473,CAB,CBA,7283_Professor,Professor,0,0,0
176362,ACB,CAB,7283_Professor,Professor,0,0,0
192561,BCA,BCA,7283_Professor,Professor,2,0,-2
184096,CBA,CBA,7283_Professor,Professor,0,0,0
199852,CBA,CBA,7285_Professor,Professor,0,0,0
191583,BCA,CBA,7285_Professor,Professor,2,0,-2
169788,CBA,CBA,7285_Professor,Professor,0,0,0
177814,ACB,CBA,7285_Professor,Professor,0,0,0
200527,BAC,BAC,7287_Professor,Professor,1,0,-1
198823,BAC,BAC,7287_Professor,Professor,1,0,-1
178143,BCA,BAC,7287_Professor,Professor,2,0,-2
192884,CBA,BAC,7287_Professor,Professor,0,0,0
201620,CAB,BCA,7288_Professor,Professor,0,0,0
174788,BCA,BCA,7288_Professor,Professor,2,0,-2
194314,CAB,BCA,7288_Professor,Professor,0,0,0
175043,BCA,BCA,7288_Professor,Professor,2,0,-2
201589,BAC,CBA,7289_Professor,Professor,1,0,-1
200796,BCA,CBA,7289_Professor,Professor,2,0,-2
186314,CBA,CBA,7289_Professor,Professor,0,0,0
197309,CBA,CBA,7289_Professor,Professor,0,0,0
199516,BCA,BCA,7290_Professor,Professor,2,0,-2
189847,ACB,BCA,7290_Professor,Professor,0,0,0
182193,BCA,BCA,7290_Professor,Professor,2,0,-2
183869,BCA,BCA,7290_Professor,Professor,2,0,-2
180283,ACB,ACB,7291_Professor,Professor,0,2,2
188632,BCA,ACB,7291_Professor,Professor,2,2,0
170242,BAC,ACB,7291_Professor,Professor,1,2,1
172188,CBA,ACB,7291_Professor,Professor,0,2,2
200250,BCA,CAB,7292_Professor,Professor,2,0,-2
201809,CBA,CAB,7292_Professor,Professor,0,0,0
165705,ACB,CAB,7292_Professor,Professor,0,0,0
167145,BCA,CAB,7292_Professor,Professor,2,0,-2
176616,ACB,CAB,7293_Professor,Professor,0,0,0
187072,BCA,BCA,7293_Professor,Professor,2,0,-2
186840,CBA,ACB,7293_Professor,Professor,0,2,2
185347,CBA,BCA,7293_Professor,Professor,0,0,0
166570,BAC,ACB,7294_Professor,Professor,1,2,1
194985,ABC,ACB,7294_Professor,Professor,0,2,2
174714,BAC,ACB,7294_Professor,Professor,1,2,1
196425,ACB,ACB,7294_Professor,Professor,0,2,2
178596,CBA,CAB,7296_Professor,Professor,0,0,0
179996,BCA,CAB,7296_Professor,Professor,2,0,-2
196951,CAB,CAB,7296_Professor,Professor,0,0,0
178993,CAB,CAB,7296_Professor,Professor,0,0,0
180160,BAC,BCA,7297_Professor,Professor,1,0,-1
194009,CAB,CAB,7297_Professor,Professor,0,0,0
198781,ABC,BCA,7297_Professor,Professor,0,0,0
178418,CBA,CBA,7297_Professor,Professor,0,0,0
163093,BAC,BAC,7298_PartyVenue,PartyVenue,1,0,-1
164591,BCA,BAC,7298_PartyVenue,PartyVenue,2,0,-2
173442,BAC,BAC,7298_PartyVenue,PartyVenue,1,0,-1
202618,CAB,BAC,7298_PartyVenue,PartyVenue,0,0,0
167001,CAB,BAC,7298_Professor,Professor,0,0,0
201680,CBA,BCA,7298_Professor,Professor,0,0,0
178633,BCA,BAC,7298_Professor,Professor,2,0,-2
181167,CBA,BAC,7298_Professor,Professor,0,0,0
190260,BCA,BCA,7298_candidate,candidate,2,0,-2
169013,BCA,BCA,7298_candidate,candidate,2,0,-2
183895,BCA,BCA,7298_candidate,candidate,2,0,-2
174017,BCA,BCA,7298_candidate,candidate,2,0,-2
187413,BCA,ACB,7299_PartyVenue,PartyVenue,2,2,0
166559,ACB,ACB,7299_PartyVenue,PartyVenue,0,2,2
188562,BAC,ACB,7299_PartyVenue,PartyVenue,1,2,1
185474,BCA,ACB,7299_PartyVenue,PartyVenue,2,2,0
196463,BAC,BAC,7299_Professor,Professor,1,0,-1
197319,CBA,BAC,7299_Professor,Professor,0,0,0
189154,ACB,CAB,7299_Professor,Professor,0,0,0
171747,CBA,BAC,7299_Professor,Professor,0,0,0
168446,CAB,ACB,7300_PartyVenue,PartyVenue,0,2,2
195147,ABC,ACB,7300_PartyVenue,PartyVenue,0,2,2
199734,ABC,ACB,7300_PartyVenue,PartyVenue,0,2,2
188567,ABC,ACB,7300_PartyVenue,PartyVenue,0,2,2
165989,CAB,ABC,7300_candidate,candidate,0,1,1
199132,ACB,CAB,7300_candidate,candidate,0,0,0
164751,BCA,CBA,7300_candidate,candidate,2,0,-2
177858,BCA,CAB,7300_candidate,candidate,2,0,-2
171888,BCA,BAC,7301_PartyVenue,PartyVenue,2,0,-2
197926,ABC,ABC,7301_PartyVenue,PartyVenue,0,1,1
170597,BAC,ABC,7301_PartyVenue,PartyVenue,1,1,0
176168,ABC,ABC,7301_PartyVenue,PartyVenue,0,1,1
198311,ACB,ACB,7301_Professor,Professor,0,2,2
176291,BAC,ACB,7301_Professor,Professor,1,2,1
173341,ABC,ACB,7301_Professor,Professor,0,2,2
171113,BCA,ACB,7301_Professor,Professor,2,2,0
174169,ABC,CBA,7301_candidate,candidate,0,0,0
188971,BAC,BAC,7301_candidate,candidate,1,0,-1
165703,BAC,BAC,7301_candidate,candidate,1,0,-1
172079,CBA,CBA,7301_candidate,candidate,0,0,0
176377,BAC,CBA,7302_PartyVenue,PartyVenue,1,0,-1
165391,ACB,CBA,7302_PartyVenue,PartyVenue,0,0,0
178953,CBA,CBA,7302_PartyVenue,PartyVenue,0,0,0
193656,BCA,CBA,7302_PartyVenue,PartyVenue,2,0,-2
171388,BCA,BAC,7302_Professor,Professor,2,0,-2
198189,BCA,BCA,7302_Professor,Professor,2,0,-2
199146,BCA,BAC,7302_Professor,Professor,2,0,-2
169535,ACB,BCA,7302_Professor,Professor,0,0,0
169054,BCA,BCA,7302_candidate,candidate,2,0,-2
201817,BCA,BCA,7302_candidate,candidate,2,0,-2
164363,BCA,BCA,7302_candidate,candidate,2,0,-2
182147,BCA,BCA,7302_candidate,candidate,2,0,-2
200925,BAC,BAC,7303_PartyVenue,PartyVenue,1,0,-1
188516,ACB,ACB,7303_PartyVenue,PartyVenue,0,2,2
181681,ACB,ACB,7303_PartyVenue,PartyVenue,0,2,2
168511,ACB,ACB,7303_PartyVenue,PartyVenue,0,2,2
190467,BAC,ACB,7303_Professor,Professor,1,2,1
193854,ACB,ACB,7303_Professor,Professor,0,2,2
176556,BCA,ACB,7303_Professor,Professor,2,2,0
193202,BCA,ACB,7303_Professor,Professor,2,2,0
163948,BAC,BAC,7304_PartyVenue,PartyVenue,1,0,-1
166007,ABC,BAC,7304_PartyVenue,PartyVenue,0,0,0
164497,BCA,BCA,7304_PartyVenue,PartyVenue,2,0,-2
173241,BAC,BAC,7304_PartyVenue,PartyVenue,1,0,-1
190878,BAC,BCA,7304_Professor,Professor,1,0,-1
199730,BCA,BCA,7304_Professor,Professor,2,0,-2
191083,BAC,BCA,7304_Professor,Professor,1,0,-1
jennajyee,CBA,BCA,7304_Professor,Professor,0,0,0
195157,ABC,BAC,7305_PartyVenue,PartyVenue,0,0,0
172318,BAC,BAC,7305_PartyVenue,PartyVenue,1,0,-1
192826,ACB,BAC,7305_PartyVenue,PartyVenue,0,0,0
164973,BAC,BAC,7305_PartyVenue,PartyVenue,1,0,-1
163757,BCA,BCA,7305_candidate,candidate,2,0,-2
171666,BCA,BCA,7305_candidate,candidate,2,0,-2
180929,BAC,BCA,7305_candidate,candidate,1,0,-1
195957,BCA,BCA,7305_candidate,candidate,2,0,-2
164987,BAC,BAC,7307_PartyVenue,PartyVenue,1,0,-1
168746,BCA,BCA,7307_PartyVenue,PartyVenue,2,0,-2
183931,ACB,BCA,7307_PartyVenue,PartyVenue,0,0,0
164559,BCA,BCA,7307_PartyVenue,PartyVenue,2,0,-2
201580,ABC,BAC,7308_PartyVenue,PartyVenue,0,0,0
163910,BAC,BAC,7308_PartyVenue,PartyVenue,1,0,-1
177841,BAC,BAC,7308_PartyVenue,PartyVenue,1,0,-1
181114,ABC,BAC,7308_PartyVenue,PartyVenue,0,0,0
167326,BAC,ABC,7309_PartyVenue,PartyVenue,1,1,0
193457,ABC,ABC,7309_PartyVenue,PartyVenue,0,1,1
201297,BAC,ABC,7309_PartyVenue,PartyVenue,1,1,0
194566,ABC,ABC,7309_PartyVenue,PartyVenue,0,1,1
191586,BCA,BCA,7310_Professor,Professor,2,0,-2
Santa@na2019,ACB,ACB,7310_Professor,Professor,0,2,2
186039,CBA,CAB,7310_Professor,Professor,0,0,0
165909,BCA,BCA,7310_Professor,Professor,2,0,-2
192176,BAC,BCA,7311_PartyVenue,PartyVenue,1,0,-1
168748,BCA,BCA,7311_PartyVenue,PartyVenue,2,0,-2
165626,BCA,BCA,7311_PartyVenue,PartyVenue,2,0,-2
182432,BCA,BCA,7311_PartyVenue,PartyVenue,2,0,-2
185353,CBA,CBA,7311_Professor,Professor,0,0,0
172168,ACB,CBA,7311_Professor,Professor,0,0,0
199711,BCA,BCA,7311_Professor,Professor,2,0,-2
184705,BAC,BAC,7311_Professor,Professor,1,0,-1
182704,BAC,BAC,7312_PartyVenue,PartyVenue,1,0,-1
199238,BAC,BAC,7312_PartyVenue,PartyVenue,1,0,-1
166933,ABC,BAC,7312_PartyVenue,PartyVenue,0,0,0
190018,BAC,BAC,7312_PartyVenue,PartyVenue,1,0,-1
200606,BCA,BCA,7312_Professor,Professor,2,0,-2
163580,BCA,BCA,7312_Professor,Professor,2,0,-2
178976,CBA,CBA,7312_Professor,Professor,0,0,0
186303,BCA,BCA,7312_Professor,Professor,2,0,-2
165251,BAC,BAC,7312_candidate,candidate,1,0,-1
169021,BCA,BCA,7312_candidate,candidate,2,0,-2
191740,BCA,BCA,7312_candidate,candidate,2,0,-2
201574,BCA,BCA,7312_candidate,candidate,2,0,-2
175763,CBA,CAB,7313_PartyVenue,PartyVenue,0,0,0
196386,ACB,CAB,7313_PartyVenue,PartyVenue,0,0,0
177792,BAC,CAB,7313_PartyVenue,PartyVenue,1,0,-1
167600,CAB,CAB,7313_PartyVenue,PartyVenue,0,0,0
181512,CBA,CAB,7313_Professor,Professor,0,0,0
172567,CAB,CAB,7313_Professor,Professor,0,0,0
178650,BAC,ACB,7313_Professor,Professor,1,2,1
194721,BAC,ACB,7313_Professor,Professor,1,2,1
Ratlife2001,BCA,BCA,7313_candidate,candidate,2,0,-2
202919,CBA,BCA,7313_candidate,candidate,0,0,0
198808,BAC,BCA,7313_candidate,candidate,1,0,-1
163573,BCA,BCA,7313_candidate,candidate,2,0,-2
185673,CAB,ACB,7314_PartyVenue,PartyVenue,0,2,2
165029,BAC,ACB,7314_PartyVenue,PartyVenue,1,2,1
200931,ABC,ABC,7314_PartyVenue,PartyVenue,0,1,1
169484,BAC,ACB,7314_PartyVenue,PartyVenue,1,2,1
179457,ABC,ACB,7314_Professor,Professor,0,2,2
189157,BCA,BCA,7314_Professor,Professor,2,0,-2
182679,ABC,BAC,7314_Professor,Professor,0,0,0
165116,ACB,ACB,7314_Professor,Professor,0,2,2
168299,BCA,BCA,7314_candidate,candidate,2,0,-2
186054,BCA,BCA,7314_candidate,candidate,2,0,-2
194595,ACB,BCA,7314_candidate,candidate,0,0,0
173656,CBA,BCA,7314_candidate,candidate,0,0,0
174150,BAC,BAC,7315_PartyVenue,PartyVenue,1,0,-1
189577,ABC,BAC,7315_PartyVenue,PartyVenue,0,0,0
175139,BAC,BAC,7315_PartyVenue,PartyVenue,1,0,-1
203297,BAC,BAC,7315_PartyVenue,PartyVenue,1,0,-1
183871,ABC,CAB,7315_Professor,Professor,0,0,0
182536,BCA,CAB,7315_Professor,Professor,2,0,-2
203106,BAC,CAB,7315_Professor,Professor,1,0,-1
179512,ACB,CAB,7315_Professor,Professor,0,0,0
171868,ABC,BCA,7316_PartyVenue,PartyVenue,0,0,0
188158,BCA,BCA,7316_PartyVenue,PartyVenue,2,0,-2
169817,BCA,BCA,7316_PartyVenue,PartyVenue,2,0,-2
183480,CBA,BCA,7316_PartyVenue,PartyVenue,0,0,0
201535,CBA,CAB,7316_Professor,Professor,0,0,0
202584,BAC,ACB,7316_Professor,Professor,1,2,1
168113,CBA,CAB,7316_Professor,Professor,0,0,0
166101,BCA,ACB,7316_Professor,Professor,2,2,0
165382,BCA,CBA,7316_candidate,candidate,2,0,-2
181843,BCA,CBA,7316_candidate,candidate,2,0,-2
197514,CBA,CBA,7316_candidate,candidate,0,0,0
192164,BCA,CBA,7316_candidate,candidate,2,0,-2
168162,ACB,ACB,7317_PartyVenue,PartyVenue,0,2,2
196892,BAC,BAC,7317_PartyVenue,PartyVenue,1,0,-1
163903,BCA,BAC,7317_PartyVenue,PartyVenue,2,0,-2
201600,BAC,BAC,7317_PartyVenue,PartyVenue,1,0,-1
174548,CBA,CBA,7317_candidate,candidate,0,0,0
175771,CAB,CBA,7317_candidate,candidate,0,0,0
juarezm,BCA,CBA,7317_candidate,candidate,2,0,-2
194777,BCA,CBA,7317_candidate,candidate,2,0,-2
198732,ABC,ACB,7318_PartyVenue,PartyVenue,0,2,2
186946,ACB,ACB,7318_PartyVenue,PartyVenue,0,2,2
164830,BAC,BCA,7318_PartyVenue,PartyVenue,1,0,-1
186849,ACB,ACB,7318_PartyVenue,PartyVenue,0,2,2
167332,BCA,ACB,7319_candidate,candidate,2,2,0
163585,CAB,ACB,7319_candidate,candidate,0,2,2
168642,BAC,ABC,7319_candidate,candidate,1,1,0
189613,BCA,ACB,7319_candidate,candidate,2,2,0
198341,BCA,CBA,7320_candidate,candidate,2,0,-2
164205,CBA,CBA,7320_candidate,candidate,0,0,0
165994,CBA,CBA,7320_candidate,candidate,0,0,0
186325,CBA,CBA,7320_candidate,candidate,0,0,0
191718,ACB,CBA,7321_candidate,candidate,0,0,0
192594,BCA,CBA,7321_candidate,candidate,2,0,-2
194463,CBA,CBA,7321_candidate,candidate,0,0,0
198838,BCA,CBA,7321_candidate,candidate,2,0,-2
187333,CAB,BAC,7322_PartyVenue,PartyVenue,0,0,0
184978,BAC,BAC,7322_PartyVenue,PartyVenue,1,0,-1
187753,BAC,BAC,7322_PartyVenue,PartyVenue,1,0,-1
165362,BAC,BAC,7322_PartyVenue,PartyVenue,1,0,-1
201973,BCA,BCA,7322_candidate,candidate,2,0,-2
172169,CBA,BCA,7322_candidate,candidate,0,0,0
198974,BCA,BCA,7322_candidate,candidate,2,0,-2
185491,BAC,BCA,7322_candidate,candidate,1,0,-1
166720,BCA,CAB,7323_PartyVenue,PartyVenue,2,0,-2
163354,BAC,CAB,7323_PartyVenue,PartyVenue,1,0,-1
166483,CBA,CAB,7323_PartyVenue,PartyVenue,0,0,0
190742,ACB,CAB,7323_PartyVenue,PartyVenue,0,0,0
166968,BCA,BCA,7323_candidate,candidate,2,0,-2
201210,BCA,BCA,7323_candidate,candidate,2,0,-2
166778,BCA,BCA,7323_candidate,candidate,2,0,-2
196519,BAC,BCA,7323_candidate,candidate,1,0,-1
165780,BCA,BCA,7324_candidate,candidate,2,0,-2
172946,BCA,BCA,7324_candidate,candidate,2,0,-2
163078,BCA,BCA,7324_candidate,candidate,2,0,-2
179378,BCA,BCA,7324_candidate,candidate,2,0,-2
198452,BCA,BCA,7325_PartyVenue,PartyVenue,2,0,-2
174397,BAC,BCA,7325_PartyVenue,PartyVenue,1,0,-1
188893,BAC,BCA,7325_PartyVenue,PartyVenue,1,0,-1
184577,BAC,BCA,7325_PartyVenue,PartyVenue,1,0,-1
164383,BAC,BCA,7325_candidate,candidate,1,0,-1
164343,CBA,BCA,7325_candidate,candidate,0,0,0
198570,BCA,BCA,7325_candidate,candidate,2,0,-2
198785,BCA,BCA,7325_candidate,candidate,2,0,-2
172974,ABC,BAC,7326_PartyVenue,PartyVenue,0,0,0
167746,BCA,BAC,7326_PartyVenue,PartyVenue,2,0,-2
200870,ABC,BAC,7326_PartyVenue,PartyVenue,0,0,0
191751,BCA,BCA,7326_PartyVenue,PartyVenue,2,0,-2
172546,BCA,BCA,7326_candidate,candidate,2,0,-2
188900,BCA,BCA,7326_candidate,candidate,2,0,-2
165656,BCA,BCA,7326_candidate,candidate,2,0,-2
168213,BAC,BCA,7326_candidate,candidate,1,0,-1
172710,ACB,BCA,7327_PartyVenue,PartyVenue,0,0,0
194454,ABC,BCA,7327_PartyVenue,PartyVenue,0,0,0
