,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority
0,0.5061576354679803,0.2669296515450362,0.7697813510894775,78,2.5768025078369905,0.6410098522167488,0.01282051282051282,3,0,1
1,0.40018399264029436,0.21563181908351517,0.5510141253471375,71,2.604790419161677,0.45998160073597055,0.014084507042253521,2,0,1
2,0.5113122171945701,0.20293847566574838,0.6396406292915344,33,3.054054054054054,0.5248868778280543,0.030303030303030304,3,0,0
3,0.3768707482993197,0.20833333333333334,0.7197776436805725,84,2.702439024390244,0.4095238095238095,0.011904761904761904,4,0,0
4,0.41363636363636364,0.20793950850661624,0.6540580987930298,46,2.9836065573770494,0.40454545454545454,0.021739130434782608,1,0,1
5,0.5783393501805054,0.2909052720016803,1.0982232093811035,69,2.955719557195572,0.6592057761732852,0.014492753623188406,3,0,1
6,0.5972927241962775,0.2840890882871335,1.1286104917526245,79,2.869918699186992,0.7710095882684715,0.012658227848101266,4,1,0
7,0.48391332895600786,0.2707555555555556,0.7585964202880859,75,2.622775800711744,0.650032829940906,0.013333333333333334,3,0,1
8,0.32983193277310924,0.18364197530864199,0.510480523109436,72,2.7787610619469025,0.41281512605042014,0.013888888888888888,2,0,1
9,0.47429171038824763,0.2834622248661511,1.0201730728149414,82,2.833855799373041,0.608604407135362,0.012195121951219513,2,1,1
10,0.6065967016491755,0.36952908587257616,0.9069232940673828,95,2.5770700636942676,0.7973013493253374,0.010526315789473684,2,0,1
11,0.5167785234899329,0.3378684807256236,1.0554635524749756,21,3.347826086956522,0.5906040268456376,0.047619047619047616,2,0,0
12,0.6737044145873321,0.28944444444444445,1.3861888647079468,60,3.3270142180094786,0.772552783109405,0.016666666666666666,3,0,1
13,0.8389366692728695,0.39365958756540476,1.4594753980636597,57,3.612794612794613,0.8866301798279906,0.017543859649122806,4,0,0
14,0.38609112709832133,0.18159384526056033,0.47342199087142944,83,2.5828877005347595,0.486810551558753,0.012048192771084338,4,0,1
15,0.3956204379562044,0.22644628099173553,0.6670581102371216,55,2.7938144329896906,0.4467153284671533,0.01818181818181818,2,1,1
16,0.4472361809045226,0.23662306777645659,0.5459692478179932,29,3.0689655172413794,0.5628140703517588,0.034482758620689655,2,0,1
17,0.49764150943396224,0.18339100346020762,0.8309856057167053,68,2.8322147651006713,0.6285377358490566,0.014705882352941176,4,1,1
18,0.443267776096823,0.23531505873976505,0.6585459113121033,53,2.7383177570093458,0.5582450832072617,0.018867924528301886,3,0,0
19,0.4522167487684729,0.23983931947069942,0.9117648601531982,92,2.7240356083086055,0.6275862068965518,0.010869565217391304,3,1,1
20,0.5573905862923204,0.30511463844797176,0.7970225214958191,63,2.606177606177606,0.7052023121387283,0.015873015873015872,2,1,0
21,0.5450236966824644,0.30825420014609206,1.249998927116394,74,3.036303630363036,0.6960900473933649,0.013513513513513514,3,0,0
22,0.48320413436692505,0.19111111111111112,0.7168525457382202,90,2.6431095406360425,0.6272609819121447,0.011111111111111112,2,0,0
23,0.4025974025974026,0.21329639889196675,0.4101163148880005,19,4.428571428571429,0.2077922077922078,0.05263157894736842,3,0,0
24,0.4788732394366197,0.2465277777777778,0.6680178046226501,24,3.238095238095238,0.4647887323943662,0.041666666666666664,2,0,1
25,0.7722960151802657,0.34648257725180803,1.1378202438354492,39,2.9708029197080292,0.9222011385199241,0.02564102564102564,1,1,1
26,0.4527363184079602,0.25125,0.9408365488052368,80,2.7680608365019013,0.5460199004975125,0.0125,3,1,1
27,0.45734597156398105,0.23409763313609466,0.852586030960083,104,2.6378132118451023,0.584518167456556,0.009615384615384616,3,0,1
28,0.38345864661654133,0.2052469135802469,0.6267663240432739,36,3.2903225806451615,0.2819548872180451,0.027777777777777776,3,0,0
29,0.4591961023142509,0.22063961300725612,0.8526350855827332,61,2.8345864661654137,0.5529841656516443,0.01639344262295082,4,0,1
30,0.653179190751445,0.2768,0.9296176433563232,25,3.054054054054054,0.6936416184971098,0.04,2,0,1
31,0.7245370370370371,0.28402366863905326,1.3047378063201904,78,3.106699751861042,0.84375,0.01282051282051282,2,0,1
32,0.4191082802547771,0.2255099109451307,0.6000795960426331,59,2.6747967479674797,0.36942675159235666,0.01694915254237288,3,1,0
33,0.5808656036446469,0.32470414201183434,1.0476810932159424,52,2.8491620111731844,0.6970387243735763,0.019230769230769232,3,0,0
34,0.5371900826446281,0.2743764172335601,0.6680178046226501,21,3.0952380952380953,0.39669421487603307,0.047619047619047616,2,0,1
35,0.5442155309033281,0.27556991877019826,1.04415762424469,107,2.7648953301127213,0.7049128367670364,0.009345794392523364,3,0,0
36,0.4272300469483568,0.20132325141776938,0.4504607021808624,46,2.8,0.5117370892018779,0.021739130434782608,3,0,1
37,0.68,0.1953125,0.9556998610496521,16,4.857142857142857,0.0,0.0625,2,0,1
38,0.47341772151898737,0.23497917906008328,0.8035297989845276,41,2.9682539682539684,0.5443037974683544,0.024390243902439025,3,0,0
39,0.4245939675174014,0.23309897241752298,0.667137622833252,43,2.9047619047619047,0.5730858468677494,0.023255813953488372,3,0,0
40,0.5789473684210527,0.3140495867768595,0.8827614784240723,22,3.0344827586206895,0.6513157894736842,0.045454545454545456,3,1,0
41,0.4979508196721312,0.23828125,0.5974500179290771,64,2.5445026178010473,0.6741803278688525,0.015625,2,0,0
42,0.6841757515692104,0.3354016620498615,1.3363670110702515,95,3.0772659732540864,0.8143376280145358,0.010526315789473684,2,1,1
43,0.4420731707317073,0.23251417769376181,0.7681646943092346,92,2.6126126126126126,0.5370934959349594,0.010869565217391304,3,1,1
44,0.4269005847953216,0.19,0.6852598786354065,60,2.8349514563106797,0.5219298245614035,0.016666666666666666,2,0,0
45,0.6292428198433421,0.31265306122448977,0.7926164865493774,35,2.707865168539326,0.7493472584856397,0.02857142857142857,2,0,1
46,0.45911413969335607,0.2547743055555556,0.6881654262542725,96,2.5011600928074245,0.6103066439522998,0.010416666666666666,2,0,1
47,0.4975369458128079,0.21123829344432882,0.749962568283081,31,3.2580645161290325,0.5221674876847291,0.03225806451612903,2,0,1
48,0.43259005145797597,0.2546073892916412,0.7167754173278809,107,2.5169660678642716,0.48576329331046314,0.009345794392523364,3,1,0
49,0.37872340425531914,0.20399305555555555,0.6518868803977966,48,3.016949152542373,0.3425531914893617,0.020833333333333332,3,0,1
50,0.449438202247191,0.19777777777777777,0.7393213510513306,30,3.4782608695652173,0.601123595505618,0.03333333333333333,2,0,1
51,0.5255474452554745,0.24385902456390174,1.3390593528747559,106,3.221476510067114,0.6759124087591241,0.009433962264150943,4,0,0
52,0.43610547667342797,0.29327781082688875,0.8103342652320862,41,2.8666666666666667,0.47058823529411764,0.024390243902439025,3,1,1
53,0.4594594594594595,0.21997621878715815,0.7793253064155579,116,2.570888468809074,0.6175675675675676,0.008620689655172414,3,1,0
54,0.422680412371134,0.21256391526661797,0.49944350123405457,37,3.0,0.3745704467353952,0.02702702702702703,3,0,1
55,0.3007246376811594,0.16409036860879905,0.6541563868522644,58,3.3877551020408165,0.3695652173913043,0.017241379310344827,3,0,1
56,0.47619047619047616,0.25925925925925924,0.7595473527908325,18,3.6363636363636362,0.5,0.05555555555555555,2,0,1
57,0.4901593252108716,0.2688334593096498,0.789882481098175,63,2.6548223350253806,0.5670103092783505,0.015873015873015872,3,0,0
58,0.5132743362831859,0.220703125,0.5385898351669312,32,3.135135135135135,0.36283185840707965,0.03125,1,0,0
59,0.46218487394957986,0.2698412698412698,0.8486855030059814,21,6.111111111111111,0.7058823529411765,0.047619047619047616,3,0,1
60,0.36416184971098264,0.1922222222222222,0.7883439660072327,60,3.036144578313253,0.3063583815028902,0.016666666666666666,3,0,1
61,0.39800995024875624,0.17447916666666666,0.6852176785469055,48,3.1372549019607843,0.2562189054726368,0.020833333333333332,1,0,1
62,0.4658385093167702,0.22085048010973937,0.6323694586753845,27,3.260869565217391,0.4409937888198758,0.037037037037037035,2,0,0
63,0.46353224834237494,0.22961937716262976,0.8202024102210999,85,2.660899653979239,0.5774562989752863,0.011764705882352941,3,0,1
64,0.43558282208588955,0.2608,0.501046895980835,25,3.380952380952381,0.5337423312883436,0.04,2,0,1
65,0.3875,0.18140589569160998,0.5442255735397339,42,3.1794871794871793,0.275,0.023809523809523808,2,0,1
66,0.36419753086419754,0.16735537190082644,0.5824257135391235,44,3.3714285714285714,0.4506172839506173,0.022727272727272728,3,0,1
67,0.4626391096979332,0.20793388429752066,0.9962170124053955,55,3.0631578947368423,0.48171701112877585,0.01818181818181818,1,0,1
68,0.48846153846153845,0.24574669187145556,0.6850021481513977,46,2.7311827956989245,0.7326923076923076,0.021739130434782608,4,1,0
69,0.44,0.22189349112426035,0.708018958568573,26,3.473684210526316,0.16,0.038461538461538464,2,0,1
70,0.35135135135135137,0.20098765432098764,0.820547342300415,45,3.3255813953488373,0.40294840294840295,0.022222222222222223,2,1,0
71,0.39072847682119205,0.20713305898491083,0.2237180769443512,27,3.4705882352941178,0.17218543046357615,0.037037037037037035,2,0,1
72,0.4594594594594595,0.2890625,0.8486855030059814,16,3.7777777777777777,0.3783783783783784,0.0625,2,0,1
73,0.59,0.2222222222222222,0.6028627753257751,30,2.8780487804878048,0.765,0.03333333333333333,3,0,1
74,0.46113383985973116,0.23681660899653978,0.7144042253494263,85,2.570032573289902,0.576271186440678,0.011764705882352941,3,0,1
75,0.4375,0.19753086419753085,1.0549201965332031,18,5.6,0.59375,0.05555555555555555,2,0,1
76,0.41054379410543795,0.25299306868304977,0.893211841583252,138,2.6268260292164674,0.48816936488169366,0.007246376811594203,3,0,0
77,0.5225130890052356,0.2566514377855415,0.7890447378158569,61,2.6684491978609626,0.6764397905759162,0.01639344262295082,2,0,1
78,0.3950795947901592,0.2284297520661157,0.6248763203620911,55,2.757575757575758,0.6049204052098408,0.01818181818181818,2,0,1
79,0.6428571428571429,0.24037460978147762,1.0796318054199219,62,2.955223880597015,0.7662337662337663,0.016129032258064516,4,0,1
80,0.428454619787408,0.20214876033057852,0.6085119843482971,110,2.489311163895487,0.5723630417007359,0.00909090909090909,4,0,0
81,0.7413793103448276,0.2396694214876033,0.7833508253097534,22,2.9655172413793105,0.6637931034482759,0.045454545454545456,2,0,0
82,0.43089430894308944,0.1819526627218935,0.6966556310653687,52,2.9859154929577465,0.5,0.019230769230769232,3,0,0
83,0.5652173913043478,0.2839506172839506,0.6365141868591309,9,4.333333333333333,0.0,0.1111111111111111,3,0,0
84,0.691389599317988,0.3610341643582641,1.3511773347854614,114,3.057492931196984,0.8297101449275363,0.008771929824561403,2,1,0
85,0.4725274725274725,0.2520775623268698,0.9164649248123169,19,3.909090909090909,0.5934065934065934,0.05263157894736842,3,0,1
86,0.4579273693534101,0.23713505566057552,0.6323818564414978,69,2.572139303482587,0.66696191319752,0.014492753623188406,3,0,0
87,0.5062761506276151,0.21270914916340333,1.2321131229400635,106,3.1266149870801034,0.6870292887029289,0.009433962264150943,4,0,1
88,0.5555555555555556,0.36,0.0,5,5.0,0.4444444444444444,0.2,3,0,0
89,0.5991332611050921,0.27453896490184415,0.9494729042053223,82,2.6909975669099757,0.728602383531961,0.012195121951219513,3,1,0
90,0.4143934997098085,0.22411550468262226,0.6541488766670227,124,2.4748700173310225,0.5423679628554846,0.008064516129032258,2,0,1
91,0.40236686390532544,0.19160997732426305,0.4960218071937561,42,3.022222222222222,0.41420118343195267,0.023809523809523808,2,0,1
92,0.43010752688172044,0.25761772853185594,0.683695375919342,38,2.909090909090909,0.489247311827957,0.02631578947368421,3,1,1
93,0.6884661117717004,0.38613406795224975,0.8714321255683899,66,2.567627494456763,0.8608799048751486,0.015151515151515152,3,1,1
94,0.3389830508474576,0.20068027210884354,0.5626347064971924,42,3.2432432432432434,0.384180790960452,0.023809523809523808,3,0,1
95,0.36,0.30864197530864196,0.0,9,9.0,0.32,0.1111111111111111,2,1,0
96,0.47368421052631576,0.2427777777777778,0.8510890007019043,60,2.778523489932886,0.5148741418764302,0.016666666666666666,3,1,1
97,0.39887352790578595,0.22580645161290322,0.6756101250648499,93,2.570957095709571,0.5422427035330261,0.010752688172043012,3,1,1
98,0.5364727608494921,0.21475312314098752,1.1163712739944458,123,2.8620689655172415,0.6762080640196984,0.008130081300813009,2,0,1
99,0.5191256830601093,0.2928,0.8488328456878662,25,3.064516129032258,0.5901639344262295,0.04,4,0,1
100,0.45901639344262296,0.21180555555555555,0.7502199411392212,48,2.909090909090909,0.4098360655737705,0.020833333333333332,3,0,0
101,0.39655172413793105,0.2013888888888889,0.7595473527908325,24,4.181818181818182,0.6293103448275862,0.041666666666666664,2,0,0
102,0.4647887323943662,0.31555555555555553,0.8486855030059814,15,3.6666666666666665,0.30985915492957744,0.06666666666666667,3,0,1
103,0.3862212943632568,0.184159938485198,0.5114636421203613,51,3.0327868852459017,0.5762004175365344,0.0196078431372549,3,0,0
104,0.3687002652519894,0.19614984391259105,0.7357795834541321,62,2.9263157894736844,0.3687002652519894,0.016129032258064516,3,1,0
105,0.4179566563467492,0.19214753123140987,0.690662682056427,41,3.13953488372093,0.5356037151702786,0.024390243902439025,1,0,1
106,0.42589437819420783,0.2538927335640138,0.6788870096206665,68,2.6178010471204187,0.46678023850085176,0.014705882352941176,3,0,1
107,0.4412171507607192,0.22253000923361035,0.723677396774292,57,2.773913043478261,0.5809128630705395,0.017543859649122806,3,1,1
108,0.3993808049535604,0.23593864134404674,0.5860421657562256,37,3.0,0.48606811145510836,0.02702702702702703,2,0,1
109,0.765466297322253,0.45106205747605166,1.222896933555603,49,2.929328621908127,0.8670360110803325,0.02040816326530612,3,1,1
110,0.45794392523364486,0.296398891966759,0.6277052760124207,19,3.2666666666666666,0.7383177570093458,0.05263157894736842,1,0,1
111,0.6923076923076923,0.26,0.5004023909568787,10,3.6,0.46153846153846156,0.1,3,0,1
112,0.5647921760391198,0.22120064899945915,0.7346366047859192,43,2.783132530120482,0.5819070904645477,0.023255813953488372,3,0,1
113,0.6396548095137866,0.37207298927089044,1.1122840642929077,113,2.790633608815427,0.7996211323931803,0.008849557522123894,3,0,0
114,0.4888888888888889,0.22727272727272727,0.8594697117805481,66,2.7657142857142856,0.6323232323232323,0.015151515151515152,3,1,1
115,0.3840304182509506,0.24150596877869604,0.6119518280029297,33,3.2580645161290325,0.24714828897338403,0.030303030303030304,2,1,0
116,0.43820224719101125,0.19503287070854639,0.6396406292915344,37,3.1621621621621623,0.44569288389513106,0.02702702702702703,3,0,1
117,0.35236938031591736,0.1889348025711662,0.6683449745178223,132,2.5607064017660046,0.43529769137302554,0.007575757575757576,3,1,1
118,0.39092872570194387,0.2095971027614305,0.6607821583747864,94,2.5949820788530467,0.3385529157667387,0.010638297872340425,3,1,0
119,0.48172757475083056,0.21986851716581446,0.6504823565483093,37,2.9591836734693877,0.2724252491694352,0.02702702702702703,3,0,0
120,0.5219244823386114,0.26309886236180097,0.8788804411888123,158,2.5601194921583272,0.6999086479902558,0.006329113924050633,3,0,0
121,0.42351046698872785,0.25864223240316536,0.6419081091880798,49,2.768421052631579,0.47020933977455714,0.02040816326530612,3,1,1
122,0.46808510638297873,0.235,0.2711893916130066,20,3.3846153846153846,0.5106382978723404,0.05,3,0,0
123,0.48120300751879697,0.2052469135802469,0.710630476474762,36,3.1219512195121952,0.3609022556390977,0.027777777777777776,3,0,1
124,0.46099290780141844,0.16765755053507728,0.7529746294021606,29,3.823529411764706,0.09929078014184398,0.034482758620689655,4,0,1
125,0.5777777777777777,0.2,0.5608192086219788,30,2.9714285714285715,0.40555555555555556,0.03333333333333333,3,0,1
126,0.46060606060606063,0.28546712802768165,0.8402859568595886,68,2.6784140969162995,0.5848484848484848,0.014705882352941176,3,1,1
127,0.5465017064846417,0.3048907388137357,0.8689848184585571,124,2.544190665342602,0.700938566552901,0.008064516129032258,4,1,0
128,0.44069640914036995,0.24697661918839023,0.9132309556007385,61,2.872340425531915,0.6104461371055495,0.01639344262295082,2,1,1
